afk_sweep -> /home/ben/PycharmProjects/resonance-lighting/ops/bench/data/ca/2026-06-10-afk-sweep-0031.jsonl
patterns=['RGB', 'W', 'RGBW'] gammas=[0, 1] levels=[0, 16, 32, 48, 64, 96, 128, 160, 192, 224, 255]
floor=2.9 V  max=120.0 min
start: battery_v=3.194 soc=33 supply_v=0.02

cyc g  pat  lvl  LED_mA battINA gauge_mA    bv soc mAh_ina  mAh_g
  4 0 RGBW  160   174.8  -324.0 -420.625 2.993  26    51.0   56.4
  4 0 RGBW  192   211.1  -366.2 -389.062 3.061  26    51.4   56.8
  4 0 RGBW  224   247.9  -410.9 -336.172 3.038  26    51.9   57.2
  4 0 RGBW  255   286.5  -457.5  -508.75 2.986  26    52.4   57.8
  4 1  RGB    0     2.0  -120.5 -138.125 3.185  26    52.5   57.9
  4 1  RGB   16    -4.2  -120.5 -128.125 3.189  26    52.6   58.1
  4 1  RGB   32     3.0  -121.8 -130.234 3.191  26    52.8   58.2
  4 1  RGB   48     4.3  -123.8 -137.656 3.187  26    52.9   58.4
  4 1  RGB   64     7.9  -127.9 -166.172  3.18  26    53.1   58.6
  4 1  RGB   96    20.5  -141.9 -133.672 3.147  26    53.2   58.7
  4 1  RGB  128    42.0  -166.9 -134.688 3.186  26    53.4   58.9
  4 1  RGB  160    74.6  -205.1 -125.938 3.189  26    53.6   59.0
  4 1  RGB  192   119.7  -256.7 -370.859 3.059  26    53.9   59.4
  4 1  RGB  224   179.1  -326.0 -379.844 3.039  26    54.3   59.8
  4 1  RGB  255   252.4  -411.6  -441.25 3.014  26    54.8   60.4
  4 1    W    0    -1.4  -120.7 -129.922 3.189  26    54.9   60.5
  4 1    W   16     2.0  -120.4 -131.016  3.19  26    55.0   60.7
  4 1    W   32     2.0  -121.0  -126.25 3.191  26    55.2   60.8
  4 1    W   48     2.6  -121.3 -129.141 3.193  26    55.3   60.9
  4 1    W   64     3.2  -122.0 -127.266 3.185  25    55.5   61.1
  4 1    W   96     3.0  -125.7 -125.938 3.193  25    55.6   61.2
  4 1    W  128     8.5  -132.0 -161.406 3.178  25    55.7   61.4
  4 1    W  160    17.3  -141.9 -223.906 3.161  25    55.9   61.7
  4 1    W  192    29.9  -154.9  -131.25 3.188  25    56.1   61.8
  4 1    W  224    46.1  -171.9 -208.594 3.148  25    56.3   62.0
  4 1    W  255    65.8  -193.2 -207.734 3.151  25    56.5   62.3
  4 1 RGBW    0     2.0  -120.4 -128.359 3.191  25    56.6   62.4
  4 1 RGBW   16     2.0  -120.3 -128.125 3.193  25    56.8   62.6
  4 1 RGBW   32     3.0  -121.8 -134.688 3.188  25    56.9   62.7
  4 1 RGBW   48     4.9  -123.9 -151.641 3.193  25    57.0   62.9
  4 1 RGBW   64     8.8  -128.6 -132.344 3.167  25    57.2   63.0
  4 1 RGBW   96    22.7  -145.6 -223.359  3.17  25    57.3   63.3
  4 1 RGBW  128    46.6  -173.8 -221.797 3.168  25    57.5   63.5
  4 1 RGBW  160    83.6  -216.5 -308.906 3.129  25    57.8   63.9
  4 1 RGBW  192   134.2  -276.2 -312.031 3.083  25    58.1   64.2
  4 1 RGBW  224   202.1  -356.1 -312.578 3.051  25    58.5   64.6
  4 1 RGBW  255   285.1  -455.0 -490.234 2.988  25    59.0   65.1
  5 0  RGB    0    -5.1  -120.8 -133.906 3.186  25    59.2   65.3
  5 0  RGB   16    16.3  -138.0 -143.672 3.145  25    59.3   65.5
  5 0  RGB   32    31.7  -155.8 -127.812  3.19  25    59.5   65.6
  5 0  RGB   48    47.2  -173.9 -174.375 3.188  25    59.7   65.8
